Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDX11L1	0.0				
WASH7P	0.20067460020025704	-0.11004136167323175	0.9024572810432864	0.805876960725246	
MIR6859-1	5.247554466843424	0.14948541256539866	0.6386766419435498	0.7418526120549921	0.8097160982678362
MIR1302-2HG	0.2941700906783359	-0.1356194667664611	0.9059589883059314	0.7079911143275048	
MIR1302-2	0.0				
FAM138A	0.0				
OR4G4P	0.0				
OR4G11P	0.0				
OR4F5	0.0				
AL627309.1	0.0				
AL627309.3	0.0				
CICP27	3.1377369524242527	-0.9704953330196309	1.0450142515004646	0.09531662336167444	0.15015853286129255
AL627309.6	79.09538750458263	1.471174539002403	0.2349381717196552	9.865221706491227e-11	3.722334611584983e-10
AL627309.7	101.59633540139895	1.5828406616541155	0.20774265037442644	7.850903152965291e-15	3.570569322358241e-14
AL627309.2	0.18341169965310744	0.11028659223940382	0.9027576459231361	0.7117275189975929	
AL627309.5	27.779460046100052	1.754451042954678	0.3864480225117604	1.2091261429542283e-06	3.595797368034769e-06
RNU6-1100P	0.0				
AL627309.4	0.0				
FO538757.1	2.8082728814233464	-0.699906700354338	0.9431212587835065	0.16877285384122648	0.24483355671518722
WASH9P	47.9484653855512	0.9078342347156654	0.2860328416387193	0.0007891925096629014	0.0018082236711438994
MIR6859-2	0.0				
AP006222.1	0.7905368570392947	-0.0004965946752901602	0.8390202539456078	0.9993262483821175	
AP006222.2	0.0				
RPL23AP24	0.0				
AL732372.1	0.0				
AL732372.2	60.760769657377	1.2482554563851453	0.25582849661172874	3.781661508100561e-07	1.168164777785174e-06
WBP1LP7	0.0				
OR4F29	0.0				
CICP7	0.0				
AL732372.3	0.21941030936687092	0.11466038038417367	0.9038456502019871	0.7117275189975929	
FO681485.1	0.0				
AL669831.3	3.4146187130207375	-0.06755651794197645	0.6787249146882756	0.8786150204399108	0.9131534853046878
AC114498.1	0.0				
MTND1P23	4.575758170920675	0.734506212945633	0.7724022733722232	0.1558003353640174	0.2291098129983065
MTND2P28	1086.1754260274927	0.5166165197490854	0.07242418269237745	8.009146461011291e-13	3.3334173496251622e-12
MTCO1P12	339.19060596907315	1.4945615520319369	0.4001772667111888	4.868234226169847e-05	0.0001264379311056355
AC114498.2	0.0				
MTCO2P12	15.44101421378448	0.33231608206713764	0.44133794254415054	0.38786513676320067	0.48939646310311413
MTATP8P1	0.3668233993062149	0.18300023369747742	0.9160744933562907	0.5031536344759808	
MTATP6P1	13084.759405770852	0.6920164806734486	0.06827414845796947	2.817434610987776e-24	1.77968869294009e-23
MTCO3P12	16.999277962622145	0.39950344707032676	0.42200214402433417	0.284635485861503	0.3802137061396774
WBP1LP6	0.0				
OR4F16	0.0				
CICP3	0.870477683197581	-0.043494206055964095	0.8349064605362684	0.8927752171160692	
AL669831.1	34.446160997613084	-0.08612934043036952	0.3191429156756532	0.7716681902917669	0.8326725333665518
RNU6-1199P	0.0				
AL669831.2	0.0				
LINC01409	46.553273180546846	-1.2003751444131447	0.3307377827090806	0.00010524794155749719	0.0002641457531911577
AL669831.6	0.0				
AL669831.4	1.529503389791408	-0.028898630606744857	0.7982881044983375	0.9381621350282475	0.9571007347838476
FAM87B	5.394056284711615	0.950277694643988	0.798055531494948	0.08285288158639327	0.13289541207592373
LINC01128	149.04270389876248	-0.020950847072758443	0.15866111516709594	0.8923791413367426	0.9232238977401905
LINC00115	10.481744551942885	0.9602681360418993	0.5783780829322467	0.04051281324237267	0.07046977755609397
AL669831.7	0.0				
FAM41C	0.0				
TUBB8P11	0.0				
AL669831.5	0.0				
AL645608.6	0.5942949787120267	-0.3366159013328885	0.9563338967522211	0.3298120772365101	
AL645608.2	1.4165028411882024	-1.0500369270530192	1.6433379869185714	0.043943033605203935	0.07580215115544049
AL645608.4	0.19801473313041515	0.11215539910414433	0.9032132065583108	0.7117275189975927	
LINC02593	2.168745260522834	-1.2630099344825931	1.5182198937429676	0.04674694542108107	0.08005988581639116
SAMD11	1.5770038615543003	-0.13566268097568548	0.8054287774566302	0.7183155760291665	0.7923081648169046
NOC2L	1523.4278032643558	0.31470834228531497	0.06433486977630418	9.402485747122592e-07	2.8187552534837746e-06
KLHL17	177.58705670251152	0.06995603043755132	0.1537953910416242	0.6447335653658817	0.7288879914210232
PLEKHN1	30.91052962816957	-0.4540679876940653	0.33391679411894987	0.14203698378109417	0.21138088528814658
PERM1	0.9607903334180656	-0.28239953848763366	0.8826186458610176	0.39150337825815024	
AL645608.7	8.928048053182778	0.34130445908685103	0.5424164684864954	0.4355614563821975	0.5362977653900571
HES4	57.87324595256345	-0.2644682439391391	0.24535160700594955	0.2614993596759052	0.3544327625493007
ISG15	1247.4650469922951	1.29189803252553	0.20160898676395184	5.265820721734276e-11	2.009989317942305e-10
AL645608.3	0.0				
AL645608.1	1.162238686126856	-0.7367963011165138	1.2430751409199592	0.08339742012319136	0.1336399293234199
AGRN	11566.389521009667	0.10438535531495706	0.04732812861402309	0.026939060388528308	0.0486401490384313
AL645608.5	0.0				
AL390719.1	130.00276120946933	0.9474828568978129	0.18039876338535069	8.148028835846698e-08	2.6374005337516353e-07
AL645608.8	3.5165420814984913	0.35132904614564475	0.7153239251710203	0.45305083574470667	0.5534709568287898
RNF223	56.9913505483744	2.9710050793245157	0.32662714869043113	1.0382634704110237e-20	5.86804033738413e-20
C1orf159	215.54967144586016	0.28394424014461894	0.13243371489702802	0.03019492334586308	0.053913047531171446
AL390719.3	13.143989909936675	0.8064477959068725	0.5085425818071597	0.05939974241038	0.09932689029774097
LINC01342	19.19714271842682	-2.474710371532802	0.5572766334572042	1.433002571231402e-06	4.240429967214459e-06
MIR200B	3.885150208840439	-0.2839045247733945	0.7003409322513235	0.5397388698485743	0.6361528980976383
MIR200A	4.140445868162913	-0.34387028290828847	0.6890052199879783	0.4626575976028872	0.5629609498139851
MIR429	16.25931989361993	-0.48955366613668455	0.4579903299248989	0.21601576116063764	0.30274541450966336
AL390719.2	240.3202280797113	-0.7552717744848758	0.1320464151080406	6.9708088579335524e-09	2.3905643575459124e-08
TTLL10-AS1	3.135713318300324	-0.13937442697509533	0.6985260406752337	0.7545806061302179	0.819970855446355
TTLL10	17.66482207270809	-1.1206478731610554	0.49692435290226517	0.008927194171572794	0.017614403928641612
TNFRSF18	2.3387479575808237	-0.5720073625794541	0.8815586830889621	0.23958184776786615	0.32995657103843373
TNFRSF4	1.118599084747808	0.5758620420871676	1.045512404887302	0.15703457985482538	0.23056567589104673
SDF4	2280.434302430547	0.9262075033135134	0.06238806068698305	3.902858537071197e-50	4.627470891311313e-49
B3GALT6	211.43850841086942	-2.504448184439529	0.1656493081658295	1.9223363877450355e-52	2.397154533490755e-51
C1QTNF12	16.239564243730054	0.19366302685477962	0.43568779251169504	0.6127486390575355	0.7016910271790984
AL162741.1	2.340446115986368	0.04078372083948274	0.7439353007926607	0.9244270046292599	0.947339080546801
UBE2J2	534.8988244446302	0.2375900543234528	0.0886595201149051	0.00710611593966442	0.014247444912920664
LINC01786	1.193658912242956	-0.443211801893305	0.9417769510753368	0.24206987609985992	0.33265521910908696
SCNN1D	6.166264188570587	-1.4855041226648587	0.91283035366632	0.021175474340041862	0.039045727343478887
ACAP3	595.3433897176691	0.3747417677352135	0.08971818638496502	2.687646871722644e-05	7.155899273735801e-05
MIR6726	0.0				
PUSL1	232.33416057239833	0.6345191144629585	0.13491704508680222	1.8795496362472426e-06	5.509293099364816e-06
INTS11	1490.1470379775535	0.5204741041495072	0.06399415045610238	3.4768386577495773e-16	1.6700913781490338e-15
MIR6727	0.0				
AL139287.1	48.02269522600194	-0.09623019074132183	0.2729425915431674	0.7102624579474052	0.7848391500693639
CPTP	168.84806720620963	-0.5144684020769665	0.15306174028195205	0.0006401969681326489	0.0014806147702306378
TAS1R3	6.21209949200823	-0.6881399780724571	0.6839535055807413	0.16738809130940488	0.24318282719213233
DVL1	1048.4698947646773	-0.42043326793983493	0.07471965579001237	1.600500682457515e-08	5.37884076878113e-08
MIR6808	0.0				
MXRA8	32.87857059222722	-3.1706945561085997	0.48298535893905986	7.77285882015008e-12	3.0941221916191236e-11
AURKAIP1	900.023173093284	0.6580798824453348	0.07381885810305343	3.571763134682671e-19	1.906904078832233e-18
NDUFB4P8	0.604270361728769	-0.12957475980363597	0.8604534544239151	0.6895765795475666	
CCNL2	3161.235478057099	-0.009126411138056432	0.05165033120903802	0.8545039109772763	0.8958196277667665
MRPL20-AS1	242.97826823126448	-0.9561549179484788	0.13897461661831179	3.099859916626132e-12	1.255346309042268e-11
MRPL20	667.0064270344155	-0.48930337366756144	0.08503116194566261	7.331296748999265e-09	2.5100109056939462e-08
RN7SL657P	0.0				
AL391244.2	60.52754131746587	-1.0698646723852145	0.26222726000212343	2.0641657177561618e-05	5.5552757848817094e-05
ANKRD65	8.25639228122112	-0.6984071739294101	0.6449619935583626	0.14951312249947754	0.22119518812571914
AL391244.1	0.21941030936687092	0.11466038038417367	0.9038456502019871	0.7117275189975929	
TMEM88B	3.1093968717516507	-0.8042356940397959	0.9944358877574421	0.13034656071464396	0.19621262109170892
LINC01770	11.339795086880983	-3.3510652571467134	0.8542663984800468	1.8400930276406625e-05	4.971125291556234e-05
